Search results:
    larsthorup-jsdevenv-require git://github.com/larsthorup/jsdevenv-require-bower.git
    jquery-prevent-double-submit git://github.com/solarmosaic/jquery-prevent-double-submit.git
    sieve.js git://github.com/Leko/sieve.js.git
    neatshowjs git://github.com/stevepapa/neatshowjs.git
    tiejs git://github.com/Develman/tiejs.git
    ng-revealer git://github.com/ppiekarczyk/ng-revealer.git
    nestle git://github.com/roblafeve/nestle.git
    javascript-eventhub git://github.com/scaljeri/javascript-eventhub.git
    everest git://github.com/PulsarBlow/everest.js.git
    puredom-rest git://github.com/developit/puredom-rest.git
    ticketingEventFlow git://github.mlbam.net/fed-packages/ticketingEventFlow.git
    angular-youtube-preview git://github.com/stevenw/angular-youtube-preview.git
    nemento-crop git://github.com/evenemento/nemento-crop.git
    eventemitter-async git://github.com/joechee/EventEmitter-async.git
    xws-spec git://github.com/elistevens/xws-spec.git
    observe-event git://github.com/mikaelbr/observe-event.git
    jQuery.tiltToReveal git://github.com/martinkr/jQuery.tiltToReveal.git
    event-api git://github.com/benaston/event-api.git
    ng-typeahead git://github.com/ash-developer/ng-typeahead.git
    prohub git://github.com/HermanosClever/prohub.git
    jquery-externallink git://github.com/neverwoods/jquery-externallink.git
    develo-pretty-form-controls git://github.com/develodesign/pretty-form-controls.git
    tilttoreveal git://github.com/martinkr/jQuery.tiltToReveal.git
    eventcollector git://github.com/ibc/eventcollector.git
    si-tools git://github.com/stereosteve/si-tools.git
    propcom-cp-events-feed git://github.com/propcom/fe-cp-events-feed.git
    angular-omni-bar git://github.com/isteven/angular-omni-bar.git
    ddm-all-transition-end-event git://github.com/deseretdigital-ui/ddm-all-transition-end-event.git
    js-tactile-screen-events git://github.com/edouardkombo/jsTactileScreenEvents.git
    reveal-highlight-themes git://github.com/nwinkler/reveal-highlight-themes.git
    jquery-clickblock git://github.com/neverwoods/jquery-clickblock.git
    everpolate git://github.com/BorisChumichev/everpolate.git
    delegate-event git://github.com/adamshaylor/delegate-event.git
    backbone.sync-events git://github.com/yivo/backbone.sync-events.git
    github-repo-element git://github.com/stevenschobert/github-repo-element.git
    ozone-bootstrap-sass git://github.com/ozone-development/bootstrap-sass.git
    event-timeline git://github.com/jabranr/event-timeline.git
